names,links,category
Ellen J. Kullman,https://en.wikipedia.org/wiki/Ellen_J._Kullman,Unkown
Vera Lynn,https://en.wikipedia.org/wiki/Vera_Lynn,Unkown
Mark Anthony,https://en.wikipedia.org/wiki/Mark_Antony,Unkown
Zainab Salbi,https://en.wikipedia.org/wiki/Zainab_Salbi,Unkown
Catherine Cook,https://en.wikipedia.org/wiki/Catherine_Cookson,Unkown
Martha Beck,https://en.wikipedia.org/wiki/Martha_Beck,Unkown
Marilyn Vos Savant,https://en.wikipedia.org/wiki/Marilyn_vos_Savant,Unkown
Molly Stevens,https://en.wikipedia.org/wiki/Molly_Stevens,Unkown
Nico,https://en.wikipedia.org/wiki/Nico,Unkown
George Meredith,https://en.wikipedia.org/wiki/George_Meredith,Unkown
Melinda Gates,https://en.wikipedia.org/wiki/Melinda_Gates,Unkown
Helen McCabe,False,Unkown
Helen Bamber,https://en.wikipedia.org/wiki/Helen_Bamber,Unkown
Diane Sawyer,https://en.wikipedia.org/wiki/Diane_Sawyer,Unkown
Ellen Johnson-Sirleaf,https://en.wikipedia.org/wiki/Ellen_Johnson_Sirleaf,Unkown
Eve Ensler,https://en.wikipedia.org/wiki/Eve_Ensler,Unkown
Irene Rosenfield,https://en.wikipedia.org/wiki/Irene_Rosenfeld,Unkown
Tory Johnson,False,Unkown
Diane Abbott,https://en.wikipedia.org/wiki/Diane_Abbott,Unkown
Lisa Cash Hanson,https://en.wikipedia.org/wiki/Lisa_I%27Anson,Unkown
Vigdis Finnbogadottir,https://en.wikipedia.org/wiki/File:Is-Vigdis_finnbogadottir.oga,Unkown
Rachel Zoe,https://en.wikipedia.org/wiki/Rachel_Zoe,Unkown
Susan Cain,https://en.wikipedia.org/wiki/Susan_Cain,Unkown
Chanda Kochhar,https://en.wikipedia.org/wiki/Chanda_Kochhar,Unkown
Mina Wylie,https://en.wikipedia.org/wiki/Mina_Wylie,Unkown
Lisa Simpson,https://en.wikipedia.org/wiki/Lisa_Simpson,Unkown
Arlene Rankin,False,Unkown
Ellen MacArthur,https://en.wikipedia.org/wiki/Ellen_MacArthur,Unkown
Ally Carter,https://en.wikipedia.org/wiki/Ally_Carter,Unkown
Eleanor Lambert,https://en.wikipedia.org/wiki/Eleanor_Lambert,Unkown
Peggy O’Mara,False,Unkown
Brigham Young,https://en.wikipedia.org/wiki/Brigham_Young,Unkown
Jacqueline Bisset,https://en.wikipedia.org/wiki/Jacqueline_Bisset,Unkown
Maria Castañón Moats,False,Unkown
Nancy Rathburn,False,Unkown
Marissa Mayer,https://en.wikipedia.org/wiki/Marissa_Mayer,Unkown
Karren Brady,https://en.wikipedia.org/wiki/Karren_Brady,Unkown
Coretta Scott-King,https://en.wikipedia.org/wiki/Coretta_Scott_King,Unkown
Doreen Lawrence,https://en.wikipedia.org/wiki/Doreen_Lawrence,Unkown
Sheryl Sandberg,https://en.wikipedia.org/wiki/Sheryl_Sandberg,Unkown
Ellen DeGeneres,https://en.wikipedia.org/wiki/Ellen_DeGeneres,Unkown
Ishita Gupta,https://en.wikipedia.org/wiki/Ishita_Dutta,Unkown
Sampat Pal Devi,https://en.wikipedia.org/wiki/Sampat_Pal_Devi,Unkown
Arlene Blum,https://en.wikipedia.org/wiki/Arlene_Blum,Unkown
Thuli Madonsela,https://en.wikipedia.org/wiki/Thuli_Madonsela,Unkown
Rosalynn Carter,https://en.wikipedia.org/wiki/Rosalynn_Carter,Unkown
Oprah,https://en.wikipedia.org/wiki/Oprah_Winfrey,Unkown
Rosalind Brewer,https://en.wikipedia.org/wiki/Rosalind_Brewer,Unkown
Gilda Radner,https://en.wikipedia.org/wiki/Gilda_Radner,Unkown
Abigail Johnson,https://en.wikipedia.org/wiki/Abigail_Johnson,Unkown
Helen Sharman,https://en.wikipedia.org/wiki/Helen_Sharman,Unkown
Jasvinder Sanghera,https://en.wikipedia.org/wiki/Jasvinder_Sanghera,Unkown
Hoda Kotb,https://en.wikipedia.org/wiki/Hoda_Kotb,Unkown
Lubna Hussein,https://en.wikipedia.org/wiki/Lubna_al-Hussein,Unkown
Naomi Parker Fraley,https://en.wikipedia.org/wiki/Naomi_Parker_Fraley,Unkown
Tanni Grey-Thompson,https://en.wikipedia.org/wiki/Tanni_Grey-Thompson,Unkown
Diana Vreeland,https://en.wikipedia.org/wiki/Diana_Vreeland,Unkown
Mary Warnock,"https://en.wikipedia.org/wiki/Mary_Warnock,_Baroness_Warnock",Unkown
Evonne Goolagong Cawley,https://en.wikipedia.org/wiki/Evonne_Goolagong_Cawley,Unkown
Uane Austen,False,Unkown
Sheila Murray Bethel,False,Unkown
Christiane Nusslein-Volhard,https://en.wikipedia.org/wiki/Christiane_N%C3%BCsslein-Volhard,Unkown
Aparajita Gogoi,https://en.wikipedia.org/wiki/Aparajita,Unkown
Kelly Manthey,https://en.wikipedia.org/wiki/Kelly_Mantle,Unkown
Katharine Graham,https://en.wikipedia.org/wiki/Katharine_Graham,Unkown
Byron Katie,https://en.wikipedia.org/wiki/Byron_Katie,Unkown
Mary D. Poole,False,Unkown
Elizabeth Cowell,https://en.wikipedia.org/wiki/Elizabeth_Cowell,Unkown
Malti Bhojwani,False,Unkown
Dorothy Lawrence,https://en.wikipedia.org/wiki/Dorothy_Lawrence,Unkown
Malalai Joya,https://en.wikipedia.org/wiki/Malalai_Joya,Unkown
T D Jakes,https://en.wikipedia.org/wiki/T._D._Jakes,Unkown
Barbara Corcoran,https://en.wikipedia.org/wiki/Barbara_Corcoran,Unkown
Susan Solomon,https://en.wikipedia.org/wiki/Susan_Solomon,Unkown
Bettie Page,https://en.wikipedia.org/wiki/Bettie_Page,Unkown
Joan Rivers,https://en.wikipedia.org/wiki/Joan_Rivers,Unkown
Eva Peron,https://en.wikipedia.org/wiki/Eva_Per%C3%B3n,Unkown
Joanna Horsnail,False,Unkown
Jenette Stanley,https://en.wikipedia.org/wiki/Jenette_H._Bolles,Unkown
Greta Garbo,https://en.wikipedia.org/wiki/Greta_Garbo,Unkown
Sheri L. Dew,https://en.wikipedia.org/wiki/Sheri_L._Dew,Unkown
Samantha Ettus,https://en.wikipedia.org/wiki/Samantha_Ettus,Unkown
Franny Armstrong,https://en.wikipedia.org/wiki/Franny_Armstrong,Unkown
Hope Powell,https://en.wikipedia.org/wiki/Hope_Powell,Unkown
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,Unkown
Mae Jemison,https://en.wikipedia.org/wiki/Mae_Jemison,Unkown
Ingrid Mattson,https://en.wikipedia.org/wiki/Ingrid_Mattson,Unkown
Anaïs Nin,https://en.wikipedia.org/wiki/Ana%C3%AFs_Nin,Unkown
Sinéad O'Connor,https://en.wikipedia.org/wiki/Sin%C3%A9ad_O%27Connor,Unkown
Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,Unkown
Graça Machel,https://en.wikipedia.org/wiki/Gra%C3%A7a_Machel,Unkown
Lil' Kim,https://en.wikipedia.org/wiki/Lil%27_Kim,Unkown
Wangari Maathai,https://en.wikipedia.org/wiki/Wangari_Maathai,Unkown
Brené Brown,https://en.wikipedia.org/wiki/Bren%C3%A9_Brown,Unkown
